x,cons,son,voice,rnd,ant,dist,high,back,low,atr,rtr,cont,delr,lat,nas,strid,sg,cg,trill,flap,lab,cor,dors,lar,tr
b,1,0,1,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,1,0,0,0,0
ʙ,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,1,-1,0,0,0,0,0,1,0,1,0,0,0,0
c,1,0,0,-1,0,1,1,0,0,-1,-1,0,0,0,0,0,0,0,-1,-1,0,1,1,0,0
ç,1,0,0,-1,0,1,1,0,0,-1,-1,1,0,0,0,0,0,0,-1,-1,0,1,1,0,0
d,1,0,1,-1,1,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,0,1,0,0,0
ð,1,0,1,-1,1,0,-1,-1,-1,-1,-1,1,0,0,0,0,0,0,-1,-1,0,1,0,0,0
ɖ,1,0,1,-1,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,0,1,0,0,0
f,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,1,0,0,0,1,0,0,-1,-1,1,0,0,0,0
g,1,0,1,-1,-1,-1,1,1,0,-1,-1,0,0,0,0,0,0,0,-1,-1,0,0,1,0,0
ɢ,1,0,1,-1,-1,-1,0,1,0,-1,-1,0,0,0,0,0,0,0,-1,-1,0,0,1,0,0
ɣ,1,0,1,-1,-1,-1,1,1,0,-1,-1,1,0,0,0,0,0,0,-1,-1,0,0,1,0,0
h,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,0,-1,1,0,-1,-1,0,0,0,1,0
ħ,0,1,0,-1,-1,-1,-1,-1,-1,0,1,1,-1,0,0,-1,0,0,-1,-1,0,0,0,0,1
ɦ,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,0,-1,1,0,-1,-1,0,0,0,1,0
j,0,1,1,0,0,1,1,0,0,-1,-1,1,0,0,0,-1,0,0,-1,-1,0,1,1,0,0
ɟ,1,0,1,-1,0,1,1,0,0,-1,-1,0,0,0,0,0,0,0,-1,-1,0,1,1,0,0
ʝ,1,0,1,-1,0,1,1,0,0,-1,-1,1,0,0,0,0,0,0,-1,-1,0,1,1,0,0
k,1,0,0,-1,-1,-1,1,1,0,-1,-1,0,0,0,0,0,0,0,-1,-1,0,0,1,0,0
l,1,1,1,-1,1,0,-1,-1,-1,-1,-1,1,-1,1,0,-1,0,0,-1,-1,0,1,0,0,0
ʟ,1,1,1,-1,-1,-1,1,1,0,-1,-1,1,-1,1,0,-1,0,0,-1,-1,0,0,1,0,0
ɭ,1,1,1,-1,0,0,-1,-1,-1,-1,-1,1,-1,1,0,-1,0,0,-1,-1,0,1,0,0,0
ɮ,1,0,1,-1,1,0,-1,-1,-1,-1,-1,1,0,1,0,0,0,0,-1,-1,0,1,0,0,0
ɬ ,1,0,0,-1,1,0,-1,-1,-1,-1,-1,1,0,1,0,0,0,0,-1,-1,0,1,0,0,0
m,1,1,1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,0,1,-1,0,0,-1,-1,1,0,0,0,0
ɰ,0,1,1,0,-1,-1,1,1,0,-1,-1,1,-1,0,0,-1,0,0,-1,-1,0,0,1,0,0
n,1,1,1,-1,1,0,-1,-1,-1,-1,-1,0,-1,0,1,-1,0,0,-1,-1,0,1,0,0,0
ɴ,1,1,1,-1,-1,-1,0,1,0,-1,-1,0,-1,0,1,-1,0,0,-1,-1,0,0,1,0,0
ɲ,1,1,1,-1,0,1,1,0,0,-1,-1,0,-1,0,1,-1,0,0,-1,-1,0,1,1,0,0
ɳ,1,1,1,-1,0,0,-1,-1,-1,-1,-1,0,-1,0,1,-1,0,0,-1,-1,0,1,0,0,0
ŋ,1,1,1,-1,-1,-1,1,1,0,-1,-1,0,-1,0,1,0,0,0,-1,-1,0,0,1,0,0
p,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,-1,-1,1,0,0,0,0
